seed,policy,n_arrivals,mean_items,max_items,final_items,mean_class4,final_class4,mean_groups,matches_1234,matches_12,matches_13,matches_23
0,fcfm,100000,3.78118,31,2,0.75423,0,2.64184,9905,10043,9978,10168
0,wml,100000,4.31576,33,2,1.48149,0,2.81677,9905,10043,9978,10168
1,fcfm,100000,4.02326,29,4,0.79124,0,2.81371,10049,10041,9938,9921
1,wml,100000,4.735,37,4,1.69901,1,3.07308,10048,10042,9937,9923
2,fcfm,100000,3.83328,35,0,0.77888,0,2.65389,10061,9737,10162,9979
2,wml,100000,4.47438,40,0,1.58714,0,2.91115,10061,9737,10162,9979
3,fcfm,100000,3.91502,37,2,0.76206,0,2.75607,10015,9998,10091,9880
3,wml,100000,4.63174,46,6,1.63963,1,3.00231,10014,9997,10093,9879
4,fcfm,100000,3.81108,28,0,0.75464,0,2.67379,9978,10003,10032,10009
4,wml,100000,4.43244,34,0,1.54545,0,2.88427,9978,10003,10032,10009
5,fcfm,100000,3.91656,39,2,0.79452,0,2.70785,10159,9932,9852,9897
5,wml,100000,4.5588,45,2,1.61874,0,2.95633,10159,9932,9852,9897
6,fcfm,100000,3.84426,28,14,0.77324,2,2.66705,10007,9976,9981,10022
6,wml,100000,4.41926,28,20,1.54392,8,2.87618,10001,9976,9985,10027
7,fcfm,100000,3.90404,33,4,0.75723,0,2.75967,10041,9907,10040,9969
7,wml,100000,4.54894,37,4,1.60539,0,2.96168,10041,9907,10040,9969
8,fcfm,100000,3.89534,29,0,0.78976,0,2.69403,10023,9993,9946,10015
8,wml,100000,4.50662,32,0,1.58176,0,2.93976,10023,9993,9946,10015
9,fcfm,100000,3.80428,30,6,0.76674,0,2.64811,9879,10140,10217,9882
9,wml,100000,4.37154,37,6,1.52619,1,2.852,9878,10140,10218,9883
10,fcfm,100000,3.86134,33,0,0.76808,0,2.69838,9929,10222,9800,10120
10,wml,100000,4.4932,33,0,1.5764,0,2.9246,9929,10222,9800,10120
11,fcfm,100000,3.74806,34,6,0.76009,0,2.59636,9997,9895,10248,9860
11,wml,100000,4.345,27,6,1.50778,3,2.83174,9994,9895,10251,9863
12,fcfm,100000,3.8187,40,8,0.75977,2,2.66247,9863,10116,9967,10187
12,wml,100000,4.44186,36,4,1.54666,2,2.90029,9863,10118,9967,10187
13,fcfm,100000,3.86922,37,6,0.77602,2,2.68657,9993,10200,9942,9869
13,wml,100000,4.46824,31,10,1.55663,5,2.90268,9990,10202,9943,9870
14,fcfm,100000,3.8333,26,2,0.78168,0,2.64419,9932,9972,10029,10134
14,wml,100000,4.442,30,8,1.55319,4,2.90141,9928,9973,10032,10135
15,fcfm,100000,3.8691,43,6,0.77911,1,2.69133,10078,10056,10040,9745
15,wml,100000,4.50394,42,6,1.58374,2,2.93005,10077,10057,10041,9745
16,fcfm,100000,3.89498,38,6,0.77717,2,2.7157,10055,9746,9976,10165
16,wml,100000,4.52172,29,6,1.5868,2,2.94348,10055,9746,9976,10165
17,fcfm,100000,3.76454,30,12,0.74979,0,2.62598,9827,10245,10047,10048
17,wml,100000,4.31728,29,20,1.48348,10,2.81957,9817,10253,10047,10056
18,fcfm,100000,3.95408,36,2,0.79407,0,2.7482,10082,9941,10038,9856
18,wml,100000,4.62792,34,0,1.64448,0,3.00366,10082,9940,10039,9857
19,fcfm,100000,3.85708,34,0,0.77737,0,2.68399,10037,9949,10031,9946
19,wml,100000,4.4282,33,0,1.54237,0,2.88337,10037,9949,10031,9946
